tipo,id,etiqueta,nodoInicial,nodoFinal,aristaConexion,tiempo,costo
nodo,0,Casa,,,,,
nodo,1,Acatitlan,,,,,
nodo,2,Santa marta,,,,,
nodo,3,Tepalcates,,,,,
nodo,4,Metrobus Tepalcates,,,,,
nodo,5,UPIICSA,,,,,
nodo,0,Casa,,,,,
nodo,1,Acatitlan,,,,,
nodo,2,Santa marta,,,,,
nodo,3,Tepalcates,,,,,
nodo,4,Metrobus tepalcates,,,,,
nodo,5,UPIICSA,,,,,
conexion,,,0,1,Casa-Acatitlan,10,10
conexion,,,1,2,Acatitlan-Santa marta,8,0
conexion,,,2,3,Santa marta-Tepalcates,12,0
conexion,,,3,4,Tepalcates-Metrobus Tepalcates,7,0
conexion,,,4,5,Metrobus Tepalcates-UPIICSA,5,0
conexion,,,0,1,Casa-Acatitlan,10,10
conexion,,,1,2,Acatitlan-Santa marta,8,0
conexion,,,2,3,Santa marta-Tepalcates,12,0
conexion,,,3,4,Tepalcates-Metrobus Tepalcates,7,0
conexion,,,4,5,Metrobus Tepalcates-UPIICSA,5,0
